,pluno,mybndno,type5,type4,type3,type2,0,1,2,3,4,5
14999,22001038,663,22001,2200,220,22,1.284,0.0,0.0,0.0,0.0,0.0
15018,22001038,764,22001,2200,220,22,0.684,0.0,0.0,0.0,0.0,0.0
14980,22001038,1462,22001,2200,220,22,0.8340000000000001,0.0,0.0,0.0,0.0,0.0
14984,22001038,1532,22001,2200,220,22,0.0,0.38799999999999996,0.0,0.0,0.0,0.0
14981,22001038,1548,22001,2200,220,22,0.0,0.82,0.0,0.0,0.0,0.0
14990,22001038,1664,22001,2200,220,22,0.0,0.914,0.0,0.0,0.0,0.0
15007,22001038,1710,22001,2200,220,22,0.0,0.72,0.0,0.0,0.0,0.0
14902,22001038,2233,22001,2200,220,22,0.0,0.39799999999999996,0.0,0.0,0.0,0.0
14901,22001038,2273,22001,2200,220,22,0.0,0.9,0.0,0.0,0.0,0.0
14900,22001038,2579,22001,2200,220,22,0.0,0.91,0.0,0.0,0.0,0.0
14911,22001038,2619,22001,2200,220,22,0.0,1.128,0.0,0.0,0.0,0.0
14898,22001038,2939,22001,2200,220,22,0.0,0.0,0.8440000000000001,0.0,0.0,0.0
14897,22001038,3278,22001,2200,220,22,0.0,0.0,1.028,0.0,0.0,0.0
14907,22001038,3388,22001,2200,220,22,0.0,0.0,1.462,0.0,0.0,0.0
14895,22001038,3739,22001,2200,220,22,0.0,0.0,1.242,0.0,0.0,0.0
14904,22001038,4662,22001,2200,220,22,0.0,0.0,0.0,0.878,0.0,0.0
14894,22001038,5259,22001,2200,220,22,0.0,0.0,0.0,0.5820000000000001,0.0,0.0
14883,22001038,5498,22001,2200,220,22,0.0,0.0,0.0,0.7440000000000001,0.0,0.0
14871,22001038,5746,22001,2200,220,22,0.0,0.0,0.0,0.0,0.774,0.0
14872,22001038,5796,22001,2200,220,22,0.0,0.0,0.0,0.0,1.232,0.0
15031,22001038,7068,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.6779999999999999
15030,22001038,7168,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.7879999999999999
13984,22002002,1788,22002,2200,220,22,0.0,0.636,0.0,0.0,0.0,0.0
9098,22002006,6540,22002,2200,220,22,0.0,0.0,0.0,0.0,1.188,0.0
13714,22002008,7652,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.6779999999999999
15814,22002239,5785,22002,2200,220,22,0.0,0.0,0.0,0.0,0.868,0.0
15787,22002239,6035,22002,2200,220,22,0.0,0.0,0.0,0.0,0.884,0.0
